Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XXII,"22nd Century Group, Inc",0.8551,$118.73M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,3.71,$918.95M,1986,n/a,n/a,https://old.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,4.47,$101.66M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.15,$312.12M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",6.32,$55.14M,1992,n/a,n/a,https://old.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,21.96,$73.3M,1988,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.38,$115.27M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",27.5,$116.48M,n/a,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,2.7807,$4.3M,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",1.31,$57.14M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",0.8706,$32.78M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age
AIRI,Air Industries Group,1.17,$35.78M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.98,$246.89M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,0.9499,$81.69M,2011,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.5015,$58.79M,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",13.93,$189.14M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,16.76,$27.26M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,2.15,$46.34M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,57.5,$32.52M,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,3.1,$17.63M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams
USAS,Americas Gold and Silver Corporation,2.31,$244.85M,2017,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",0.51,$84.07M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe
ANVS,"Annovis Bio, Inc.",5,$34.3M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs
ARMP,"Armata Pharmaceuticals, Inc.",4.06,$75.7M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp
AINC,Ashford Inc.,11.39,$28.34M,2014,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/ainc
AUG,Auryn Resources Inc.,1.32,$138.18M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aug
AWX,Avalon Holdings Corporation,1.9401,$7.52M,n/a,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/awx
ASM,Avino Silver,0.5929,$45.81M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/asm
BTG,B2Gold Corp,5.15,$5.36B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/btg
BTN,"Ballantyne Strong, Inc",1.83,$26.81M,n/a,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/btn
BCV,Bancroft Fund Limited,23.89,$156.55M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv
BCV^A,Bancroft Fund Limited,25.63,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bcv^a
BHB,"Bar Harbor Bankshares, Inc.",19.97,$310.21M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/bhb
BRN,"Barnwell Industries, Inc.",0.724,$5.99M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/brn
BATL,Battalion Oil Corporation,10.65,$172.57M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/batl
BIOX,Bioceres Crop Solutions Corp.,5.77,$208.42M,2018,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/biox
BIOX.WS,Bioceres Crop Solutions Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/biox.ws
PHGE,BiomX Inc.,5.82,$133.43M,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/phge
PHGE.U,BiomX Inc.,n/a,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/phge.u
PHGE.WS,BiomX Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/phge.ws
BGI,Birks Group Inc.,0.8675,$15.59M,n/a,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/bgi
BKTI,BK Technologies Corporation,3.36,$41.98M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bkti
BDR,"Blonder Tongue Laboratories, Inc.",1,$9.63M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://old.nasdaq.com/symbol/bdr
BRBS,"Blue Ridge Bankshares, Inc.",15.91,$90.04M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/brbs
BRG,"Bluerock Residential Growth REIT, Inc.",8.21,$199.37M,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/brg
BRG^A,"Bluerock Residential Growth REIT, Inc.",23.65,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^a
BRG^C,"Bluerock Residential Growth REIT, Inc.",23.8562,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^c
BRG^D,"Bluerock Residential Growth REIT, Inc.",23,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brg^d
DMF,BNY Mellon Municipal Income Inc.,8.48,$175.95M,1988,n/a,n/a,https://old.nasdaq.com/symbol/dmf
BWL.A,"Bowl America, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/bwl.a
BRMK.WS,Broadmark Realty Capital Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/brmk.ws
CMCL,Caledonia Mining Corporation Plc,17.02,$196.09M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cmcl
CEI,"Camber Energy, Inc.",1.49,$9.98M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cei
CANF,Can-Fite Biopharma Ltd,1.72,$23.58M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/canf
YCBD,"cbdMD, Inc.",1.5,$77M,2017,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ycbd
YCBD^A,"cbdMD, Inc.",8.54,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ycbd^a
CVM,Cel-Sci Corporation,14.29,$537.79M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/cvm
CET,Central Securities Corporation,29.27,$757.78M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cet
LEU,Centrus Energy Corp.,10.38,$98.63M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/leu
CHAQ.U,Chardan Healthcare Acquisition 2 Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/chaq.u
CCF,Chase Corporation,99.03,$935.7M,n/a,Consumer Durables,Building Products,https://old.nasdaq.com/symbol/ccf
CQP,"Cheniere Energy Partners, LP",40.08,$19.4B,2007,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/cqp
LNG,"Cheniere Energy, Inc.",48.07,$12.12B,n/a,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/lng
CVR,Chicago Rivet & Machine Co.,21,$20.29M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cvr
CPHI,"China Pharma Holdings, Inc.",0.5676,$24.74M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/cphi
CKX,"CKX Lands, Inc.",8.4,$16.32M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ckx
GLV,Clough Global Dividend and Income Fund,8.81,$74.07M,2004,n/a,n/a,https://old.nasdaq.com/symbol/glv
GLQ,Clough Global Equity Fund,10.74,$142.1M,2005,n/a,n/a,https://old.nasdaq.com/symbol/glq
GLO,Clough Global Opportunities Fund,8.75,$281.96M,2006,n/a,n/a,https://old.nasdaq.com/symbol/glo
COHN,Cohen & Company Inc.,8.5,$10.6M,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cohn
CIX,CompX International Inc.,14.02,$174.45M,1998,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cix
LODE,"Comstock Mining, Inc.",0.7333,$20.67M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/lode
CDOR,"Condor Hospitality Trust, Inc.",4.49,$53.9M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cdor
MCF,Contango Oil & Gas Company,3.02,$397.89M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/mcf
CMT,Core Molding Technologies Inc,4.46,$36.63M,n/a,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/cmt
CRMD,CorMedix Inc.,5.82,$152.06M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/crmd
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",9.93,$395.68M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crf
CLM,"Cornerstone Strategic Value Fund, Inc.",10.16,$764.37M,1987,n/a,n/a,https://old.nasdaq.com/symbol/clm
CVU,"CPI Aerostructures, Inc.",3.55,$42.09M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/cvu
CIK,"Credit Suisse Asset Management Income Fund, Inc.",2.71,$141.75M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cik
DHY,Credit Suisse High Yield Bond Fund,1.99,$205.98M,1998,n/a,n/a,https://old.nasdaq.com/symbol/dhy
CRHM,CRH Medical Corporation,2.25,$161.02M,2015,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/crhm
CTO,"CTO Realty Growth, Inc.",42.15,$198.66M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/cto
CTEK,"CynergisTek, Inc.",1.58,$16.51M,2017,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ctek
DXR,Daxor Corporation,14,$54.44M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/dxr
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",13.65,$66.03M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vcf
VFL,Delaware Investments Florida Insured Municipal Income Fund,12.17,$55.11M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vfl
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc.",12.56,$144.5M,1993,n/a,n/a,https://old.nasdaq.com/symbol/vmm
DLA,"Delta Apparel, Inc.",11.63,$80.13M,n/a,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/dla
DNN,Denison Mine Corp,0.356,$222.88M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/dnn
DSS,"Document Security Systems, Inc.",7.96,$16.55M,n/a,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/dss
DPW,"DPW Holdings, Inc.",2.69,$15.53M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dpw
DXF,Dunxin Financial Holdings Limited,0.8295,$17.3M,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dxf
GRF,"Eagle Capital Growth Fund, Inc.",6.8038,$27.72M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/grf
EVM,Eaton Vance California Municipal Bond Fund,11.14,$278.44M,2002,n/a,n/a,https://old.nasdaq.com/symbol/evm
CEV,Eaton Vance California Municipal Income Trust,13.02,$92.88M,1999,n/a,n/a,https://old.nasdaq.com/symbol/cev
EVV,Eaton Vance Limited Duration Income Fund,11.32,$1.31B,2003,n/a,n/a,https://old.nasdaq.com/symbol/evv
EIM,Eaton Vance Municipal Bond Fund,12.67,$959.63M,2002,n/a,n/a,https://old.nasdaq.com/symbol/eim
ENX,Eaton Vance New York Municipal Bond Fund,11.62,$210.53M,2002,n/a,n/a,https://old.nasdaq.com/symbol/enx
EVY,Eaton Vance New York Municipal Income Trust,12.82,$69.25M,1999,n/a,n/a,https://old.nasdaq.com/symbol/evy
ELMD,"Electromed, Inc.",15.07,$127.85M,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/elmd
ELLO,Ellomay Capital Ltd.,19.9701,$243.52M,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ello
ECF,Ellsworth Growth and Income Fund Ltd.,11.35,$149.88M,1986,n/a,n/a,https://old.nasdaq.com/symbol/ecf
ECF^A,Ellsworth Growth and Income Fund Ltd.,25.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ecf^a
EMAN,eMagin Corporation,0.88,$47.36M,n/a,Technology,Semiconductors,https://old.nasdaq.com/symbol/eman
MSN,Emerson Radio Corporation,0.76,$15.99M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/msn
EMX,EMX Royalty Corporation,1.86,$154.64M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/emx
UUUU,Energy Fuels Inc,1.57,$184.51M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/uuuu
UUUU.WS,Energy Fuels Inc,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/uuuu.ws
ENSV,ENSERVCO Corporation,0.1949,$10.84M,n/a,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ensv
ELA,Envela Corporation,4.2,$113.08M,n/a,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/ela
EQX,Equinox Gold Corp.,10.42,$2.48B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/eqx
ESP,Espey Mfg. & Electronics Corp.,19.3404,$46.47M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/esp
EVBN,"Evans Bancorp, Inc.",22.94,$123.1M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/evbn
EVI,"EVI Industries, Inc.",24.41,$290.83M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/evi
EPM,"Evolution Petroleum Corporation, Inc.",2.71,$89.31M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/epm
FEN,First Trust Energy Income and Growth Fund,11.63,$232.84M,2004,n/a,n/a,https://old.nasdaq.com/symbol/fen
BDL,"Flanigan&#39;s Enterprises, Inc.",16.1,$29.92M,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,1.96,$23.99M,n/a,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,8.5,$256.18M,2003,n/a,n/a,https://old.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,5.25,$563.16M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,5.04,$35.28M,n/a,Capital Goods,Steel/Iron Ore,https://old.nasdaq.com/symbol/frd
FTSI,"FTS International, Inc.",8.68,$46.69M,2018,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/ftsi
GAU,Galiano Gold Inc.,1.11,$247.16M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/gau
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",3.29,$543.89M,2005,n/a,n/a,https://old.nasdaq.com/symbol/ggn
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",25.16,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ggn^b
JOB,GEE Group Inc.,0.465,$7.36M,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/job
GMO,"General Moly, Inc",0.2619,$39.99M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gmo
GSB,"GlobalSCAPE, Inc.",10.52,$196.83M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/gsb
GSAT,"Globalstar, Inc.",0.3203,$534.47M,2006,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/gsat
GORO,Gold Resource Corporation,3.82,$267.5M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,0.7,$199.07M,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,0.3465,$44.41M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aumn
GSS,"Golden Star Resources, Ltd",2.49,$273.62M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),3.67,$90M,n/a,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/gv
GDP,Goodrich Petroleum Corporation,6.45,$80.84M,2017,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gdp
GTE,Gran Tierra Energy Inc.,0.399,$146.43M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/gte
GPL,Great Panther Mining Limited,0.4192,$147.83M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/gpl
SIM,"Grupo Simec, S.A. de C.V.",7,$1.08B,1993,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/sim
AIM,"Hemispherx BioPharma, Inc.",2.43,$79.28M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aim
HLM^,Hillman Group Capital Trust,26.86,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hlm^
HMG,"HMG/Courtland Properties, Inc.",10.45,$10.59M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/hmg
HUSA,Houston American Energy Corporation,0.15,$13.05M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/husa
HWM^,Howmet Aerospace Inc.,78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hwm^
IBIO,"iBio, Inc.",1.56,$184.64M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ibio
IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ibo
IMH,"Impac Mortgage Holdings, Inc.",2.25,$47.85M,1997,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/imh
IMO,Imperial Oil Limited,16.66,$12.23B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/imo
IOR,"Income Opportunity Realty Investors, Inc.",11.925,$49.71M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ior
IGC,India Globalization Capital Inc.,0.5856,$22.84M,n/a,Technology,Electronic Components,https://old.nasdaq.com/symbol/igc
INDO,Indonesia Energy Corporation Limited,4.905,$36.34M,2019,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/indo
INFU,"InfuSystems Holdings, Inc.",11.66,$234.01M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/infu
IHT,InnSuites Hospitality Trust,0.8901,$8.29M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/iht
NSPR,InspireMD Inc.,0.5,$7.65M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/nspr
NSPR.WS,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nspr.ws
NSPR.WS.B,InspireMD Inc.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/nspr.ws.b
INS,Intelligent Systems Corporation,34.95,$311.93M,1992,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ins
THM,International Tower Hill Mines Ltd,1.25,$234.47M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/thm
INTT,inTest Corporation,3.39,$35.37M,1997,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/intt
INUV,"Inuvo, Inc",0.6065,$45.73M,n/a,Consumer Services,Advertising,https://old.nasdaq.com/symbol/inuv
