Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CDR^C,"Cedar Realty Trust, Inc.",18.21,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cdr^c
CE,Celanese Corporation,89.06,$10.53B,2005,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ce
CLS,"Celestica, Inc.",6.41,$827.23M,1998,Technology,Electrical Products,https://old.nasdaq.com/symbol/cls
CELG~,Celgene Corporation,0.46,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/celg~
CEL,"Cellcom Israel, Ltd.",3.85,$574.29M,2007,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cel
CPAC,Cementos Pacasmayo S.A.A.,7.23,$619.04M,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cpac
CX,Cemex S.A.B. de C.V.,2.84,$4.29B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cx
CVE,Cenovus Energy Inc,4.6,$5.65B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cve
CNC,Centene Corporation,63.53,$36.79B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/cnc
CEN,Center Coast Brookfield MLP & Energy Infrastructur,1.05,$51.73M,2013,n/a,n/a,https://old.nasdaq.com/symbol/cen
CNP,"CenterPoint Energy, Inc.",18.46,$9.28B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cnp
CNP^B,"CenterPoint Energy, Inc.",35.49,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cnp^b
EBR,Centrais Electricas Brasileiras S.A.- Eletrobras,6.05,$9.49B,2016,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/ebr
EBR.B,Centrais Electricas Brasileiras S.A.- Eletrobras,n/a,n/a,2016,n/a,n/a,https://old.nasdaq.com/symbol/ebr.b
CEPU,Central Puerto S.A.,2.58,$390.62M,2018,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cepu
CCS,"Century Communities, Inc.",31.61,$1.05B,2014,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/ccs
CTL,"CenturyLink, Inc.",10.22,$11.22B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctl
CDAY,Ceridian HCM Holding Inc.,76.74,$11.13B,2018,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cday
CF,"CF Industries Holdings, Inc.",30.23,$6.46B,2005,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/cf
GIB,CGI Inc.,64.27,$16.65B,n/a,Consumer Services,Professional Services,https://old.nasdaq.com/symbol/gib
CHX,ChampionX Corporation,10.05,$2.06B,2018,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/chx
ECOM          ,ChannelAdvisor Corporation,13.18,$373.86M,2013,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ecom
CHAP,"Chaparral Energy, Inc.",0.8557,$40.89M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/chap
CHRA,"Charah Solutions, Inc.",1.63,$48.72M,2018,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/chra
CRL,"Charles River Laboratories International, Inc.",178.15,$8.82B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/crl
CLDT,Chatham Lodging Trust (REIT),7.07,$332.03M,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cldt
CMCM,Cheetah Mobile Inc.,3.36,$468.07M,2014,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cmcm
CHGG,"Chegg, Inc.",63.87,$7.9B,2013,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/chgg
CHE,Chemed Corp.,449,$7.13B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/che
CC,Chemours Company (The),15.99,$2.63B,2015,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/cc
CHMI,Cherry Hill Mortgage Investment Corporation,9.45,$161.17M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/chmi
CHMI^A,Cherry Hill Mortgage Investment Corporation,23.11,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chmi^a
CHMI^B,Cherry Hill Mortgage Investment Corporation,22,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chmi^b
CHK,Chesapeake Energy Corporation,13.24,$129.53M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/chk
CHK^D,Chesapeake Energy Corporation,2.03,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chk^d
CPK,Chesapeake Utilities Corporation,84.03,$1.38B,n/a,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/cpk
CVX,Chevron Corporation,91.54,$170.9B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvx
CHWY,"Chewy, Inc.",49.56,$19.9B,2019,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/chwy
CHS,"Chico&#39;s FAS, Inc.",1.37,$163.81M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/chs
CIM,Chimera Investment Corporation,10.77,$2.07B,2007,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cim
CIM^A,Chimera Investment Corporation,21.37,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^a
CIM^B,Chimera Investment Corporation,19.88,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^b
CIM^C,Chimera Investment Corporation,19.89,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^c
CIM^D,Chimera Investment Corporation,20.09,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cim^d
DL,China Distance Education Holdings Limited,8.74,$295.68M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dl
CEA,China Eastern Airlines Corporation Ltd.,18.7,$6.13B,1997,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cea
CHN,"China Fund, Inc. (The)",21.53,$227.16M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/chn
CGA,"China Green Agriculture, Inc.",3.25,$20.64M,n/a,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/cga
LFC,China Life Insurance Company Limited,10.33,$58.39B,2003,Finance,Life Insurance,https://old.nasdaq.com/symbol/lfc
CHL,China Mobile (Hong Kong) Ltd.,34.81,$142.55B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/chl
COE,China Online Education Group,21.02,$449.98M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/coe
SNP,China Petroleum & Chemical Corporation,44.37,$53.72B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/snp
XRF,China Rapid Finance Limited,2.7,$1.94M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/xrf
ZNH,China Southern Airlines Company Limited,23.13,$5.96B,1997,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/znh
CHA,China Telecom Corp Ltd,29.49,$23.87B,2002,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cha
CHU,China Unicom (Hong Kong) Ltd,5.72,$17.5B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/chu
CYD,China Yuchai International Limited,13.67,$558.53M,1994,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cyd
CMG,"Chipotle Mexican Grill, Inc.",1022.88,$28.53B,2006,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cmg
CHH,"Choice Hotels International, Inc.",83.09,$4.6B,n/a,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/chh
CB,Chubb Limited,129.7,$58.54B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cb
CHT,"Chunghwa Telecom Co., Ltd.",37.83,$29.35B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cht
CHD,"Church & Dwight Company, Inc.",75.37,$18.53B,n/a,Basic Industries,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/chd
CCX,Churchill Capital Corp II,10.92,$941.85M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/ccx
CCX.U,Churchill Capital Corp II,n/a,n/a,2019,n/a,n/a,https://old.nasdaq.com/symbol/ccx.u
CCX.WS,Churchill Capital Corp II,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ccx.ws
CCXX,Churchill Capital Corp III,10.26,$1.41B,2020,Finance,Business Services,https://old.nasdaq.com/symbol/ccxx
CCXX.U,Churchill Capital Corp III,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/ccxx.u
CCXX.WS,Churchill Capital Corp III,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ccxx.ws
CIEN,Ciena Corporation,53.62,$8.24B,1997,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cien
CI,Cigna Corporation,191.8,$70.77B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ci
XEC,Cimarex Energy Co,28.81,$2.94B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/xec
CBB,Cincinnati Bell Inc,14.9,$754.35M,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cbb
CBB^B,Cincinnati Bell Inc,48,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cbb^b
CNK,Cinemark Holdings Inc,14.71,$1.73B,2007,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/cnk
CINR,Ciner Resources LP,12.75,$252.03M,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cinr
CIR,"CIRCOR International, Inc.",22.89,$457.53M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cir
CIT,CIT Group Inc (DEL),23.73,$2.33B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cit
CIT^B,CIT Group Inc (DEL),21.48,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cit^b
CCAC,CITIC Capital Acquisition Corp.,9.8,$338.1M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/ccac
CCAC.U,CITIC Capital Acquisition Corp.,n/a,n/a,2020,n/a,n/a,https://old.nasdaq.com/symbol/ccac.u
CCAC.WS,CITIC Capital Acquisition Corp.,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ccac.ws
BLW,Citigroup Inc.,14,$500.52M,2003,Finance,Major Banks,https://old.nasdaq.com/symbol/blw
C,Citigroup Inc.,53,$110.34B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/c
C^J,Citigroup Inc.,27.65,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/c^j
C^K,Citigroup Inc.,26.86,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/c^k
C^N,Citigroup Inc.,26.94,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/c^n
C^S,Citigroup Inc.,25.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/c^s
CFG,"Citizens Financial Group, Inc.",26.37,$11.25B,2014,Finance,Major Banks,https://old.nasdaq.com/symbol/cfg
CFG^D,"Citizens Financial Group, Inc.",25.73,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cfg^d
CFG^E,"Citizens Financial Group, Inc.",23.05,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cfg^e
CIA,"Citizens, Inc.",5.52,$295.2M,n/a,Finance,Life Insurance,https://old.nasdaq.com/symbol/cia
CIO,"City Office REIT, Inc.",10.32,$488.16M,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cio
CIO^A,"City Office REIT, Inc.",22.425,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cio^a
CVEO,Civeo Corporation,0.62,$105.8M,2014,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/cveo
CCC,Clarivate Plc,22.21,$8.11B,2019,Technology,EDP Services,https://old.nasdaq.com/symbol/ccc
CLH,"Clean Harbors, Inc.",61.34,$3.41B,n/a,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/clh
CCO,"Clear Channel Outdoor Holdings, Inc.",1.28,$598.15M,2005,Consumer Services,Advertising,https://old.nasdaq.com/symbol/cco
EMO,ClearBridge Energy Midstream Opportunity Fund Inc.,2.68,$192.19M,2011,n/a,n/a,https://old.nasdaq.com/symbol/emo
CEM,ClearBridge MLP and Midstream Fund Inc.,3.6,$253.49M,2010,n/a,n/a,https://old.nasdaq.com/symbol/cem
CTR,ClearBridge MLP and Midstream Total Return Fund In,3.04,$116.74M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ctr
CLW,Clearwater Paper Corporation,35.56,$589.26M,n/a,Basic Industries,Paper,https://old.nasdaq.com/symbol/clw
CWEN,"Clearway Energy, Inc.",23.68,$4.72B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cwen
CWEN.A,"Clearway Energy, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cwen.a
CLF,Cleveland-Cliffs Inc.,6.44,$2.57B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/clf
CLPR,Clipper Realty Inc.,7.61,$135.57M,2017,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clpr
CLX,Clorox Company (The),212,$26.7B,n/a,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/clx
CLDR,"Cloudera, Inc.",12.64,$3.73B,2017,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cldr
NET,"Cloudflare, Inc.",35.8,$10.87B,2019,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/net
CMS,CMS Energy Corporation,59.12,$16.92B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms
CMS^B,CMS Energy Corporation,108,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms^b
CMSA,CMS Energy Corporation,26.215,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsa
CMSC,CMS Energy Corporation,26.65,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsc
CMSD,CMS Energy Corporation,26.315,n/a,2019,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsd
CNA,CNA Financial Corporation,32.33,$8.77B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cna
CNF,CNFinance Holdings Limited,3.845,$263.7M,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/cnf
CNHI,CNH Industrial N.V.,6.92,$9.44B,2013,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/cnhi
CNO,"CNO Financial Group, Inc.",14.92,$2.14B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/cno
CEO,CNOOC Limited,115.12,$51.4B,2001,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ceo
CNXM,CNX Midstream Partners LP,8.23,$739.05M,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/cnxm
CNX,CNX Resources Corporation,10.63,$1.99B,1999,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnx
KOF,Coca Cola Femsa S.A.B. de C.V.,44.79,$75.28B,1993,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/kof
KO,Coca-Cola Company (The),46.58,$200.06B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ko
CCEP,Coca-Cola European Partners plc,38.31,$17.4B,2016,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ccep
CDE,"Coeur Mining, Inc.",4.66,$1.13B,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/cde
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc.",10.9,$296.79M,2006,n/a,n/a,https://old.nasdaq.com/symbol/fof
CNS,Cohen & Steers Inc,72.67,$3.47B,2004,Finance,Investment Managers,https://old.nasdaq.com/symbol/cns
UTF,"Cohen & Steers Infrastructure Fund, Inc",23.16,$2.17B,2004,n/a,n/a,https://old.nasdaq.com/symbol/utf
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc",23.06,$665.69M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ldp
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",2.48,$66.64M,2013,n/a,n/a,https://old.nasdaq.com/symbol/mie
RQI,Cohen & Steers Quality Income Realty Fund Inc.,11.14,$1.5B,2002,n/a,n/a,https://old.nasdaq.com/symbol/rqi
RNP,"Cohen & Steers REIT and Preferred and Income Fund,",19.57,$931.18M,2003,n/a,n/a,https://old.nasdaq.com/symbol/rnp
PSF,"Cohen & Steers Select Preferred and Income Fund, Inc.",24.8,$297.84M,2010,n/a,n/a,https://old.nasdaq.com/symbol/psf
RFI,"Cohen & Steers Total Return Realty Fund, Inc.",13.37,$350.36M,1993,n/a,n/a,https://old.nasdaq.com/symbol/rfi
CFX,Colfax Corporation,28.46,$3.37B,2008,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/cfx
CFXA,Colfax Corporation,128.92,n/a,2019,Capital Goods,Fluid Controls,https://old.nasdaq.com/symbol/cfxa
CL,Colgate-Palmolive Company,73.81,$63.22B,n/a,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/cl
CCH,Collier Creek Holdings,13.9,$776.66M,2018,Finance,Business Services,https://old.nasdaq.com/symbol/cch
CCH.U,Collier Creek Holdings,n/a,n/a,2018,n/a,n/a,https://old.nasdaq.com/symbol/cch.u
CCH.WS,Collier Creek Holdings,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cch.ws
CXE,Colonial High Income Municipal Trust,4.665,$147.04M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxe
CIF,Colonial Intermediate High Income Fund,2.17,$42.65M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cif
CXH,Colonial Investment Grade Municipal Trust,9.43,$85.91M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxh
CMU,Colonial Municipal Income Trust,4.19,$118.68M,1987,n/a,n/a,https://old.nasdaq.com/symbol/cmu
CLNY,"Colony Capital, Inc.",2.77,$1.33B,2014,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clny
CLNY^G,"Colony Capital, Inc.",19.3522,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^g
CLNY^H,"Colony Capital, Inc.",18.78,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^h
CLNY^I,"Colony Capital, Inc.",18.79,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^i
CLNY^J,"Colony Capital, Inc.",18.6992,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/clny^j
CLNC,"Colony Credit Real Estate, Inc.",6.42,$824.9M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clnc
CXP,"Columbia Property Trust, Inc.",13.93,$1.59B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxp
STK,"Columbia Seligman Premium Technology Growth Fund, Inc",23.34,$371.25M,2009,n/a,n/a,https://old.nasdaq.com/symbol/stk
CCZ,Comcast Corporation,59.33,n/a,n/a,Consumer Services,Television Services,https://old.nasdaq.com/symbol/ccz
CMA,Comerica Incorporated,39.95,$5.55B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cma
FIX,"Comfort Systems USA, Inc.",39.16,$1.43B,1997,Capital Goods,Engineering & Construction,https://old.nasdaq.com/symbol/fix
CMC,Commercial Metals Company,19.43,$2.31B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/cmc
CBU,"Community Bank System, Inc.",56.73,$2.96B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cbu
CYH,"Community Health Systems, Inc.",3.23,$386.52M,2000,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/cyh
CHCT,Community Healthcare Trust Incorporated,42.99,$952.82M,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/chct
CIG,Comp En De Mn Cemig ADS,2.25,$3.28B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cig
CIG.C,Comp En De Mn Cemig ADS,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cig.c
CBD,Companhia Brasileira de Distribuicao,12.64,$3.39B,2020,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/cbd
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,10.67,$7.29B,2002,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/sbs
ELP,Companhia Paranaense de Energia (COPEL),12.59,$3.45B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/elp
CCU,"Compania Cervecerias Unidas, S.A.",15.23,$2.81B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/ccu
CODI,Compass Diversified Holdings,17.89,$1.17B,2006,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/codi
CODI^A,Compass Diversified Holdings,21.7384,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^a
CODI^B,Compass Diversified Holdings,23.92,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^b
CODI^C,Compass Diversified Holdings,23.85,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^c
CMP,"Compass Minerals International, Inc.",50.83,$1.72B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cmp
CRK,"Comstock Resources, Inc.",4.87,$1.13B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crk
CAG,"ConAgra Brands, Inc.",34.3,$16.71B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/cag
CXO,Concho Resources Inc.,56.93,$11.2B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cxo
CCM,Concord Medical Services Holdings Limited,1.6902,$73.38M,2009,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ccm
CNMD,CONMED Corporation,73.36,$2.09B,1987,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://old.nasdaq.com/symbol/cnmd
COP,ConocoPhillips,44.02,$47.21B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cop
CCR,CONSOL Coal Resources LP,4.4,$121.84M,2015,Energy,Coal Mining,https://old.nasdaq.com/symbol/ccr
CEIX,CONSOL Energy Inc.,6.47,$168.41M,2017,Energy,Coal Mining,https://old.nasdaq.com/symbol/ceix
ED,Consolidated Edison Inc,75.29,$25.15B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/ed
STZ,Constellation Brands Inc,178.71,$34.48B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/stz
STZ.B,Constellation Brands Inc,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/stz.b
CSTM,Constellium SE,8.45,$1.16B,2013,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/cstm
TCS,Container Store (The),3.21,$158.47M,2013,Consumer Services,Home Furnishings,https://old.nasdaq.com/symbol/tcs
CLR,"Continental Resources, Inc.",16.64,$6.08B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/clr
VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",5.6,$558.17M,2013,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/vlrs
CTRA,"Contura Energy, Inc.",4.07,$74.48M,2018,Energy,Coal Mining,https://old.nasdaq.com/symbol/ctra
CTB,Cooper Tire & Rubber Company,26.42,$1.33B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/ctb
CPS,Cooper-Standard Holdings Inc.,14.41,$243.31M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/cps
CTK,CooTek (Cayman) Inc.,6.95,$429.56M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/ctk
CPA,"Copa Holdings, S.A.",51.23,$2.17B,2005,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cpa
CLB,Core Laboratories N.V.,19.68,$874.91M,1995,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/clb
CXW,"CoreCivic, Inc.",10.43,$1.25B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxw
CLGX,"CoreLogic, Inc.",49.48,$3.93B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/clgx
CORR,"CorEnergy Infrastructure Trust, Inc.",11.73,$160.13M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/corr
CORR^A,"CorEnergy Infrastructure Trust, Inc.",18.25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/corr^a
CPLG,CorePoint Lodging Inc.,3.94,$229.13M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cplg
COR,CoreSite Realty Corporation,121.82,$4.62B,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cor
CNR,"Cornerstone Building Brands, Inc.",6.09,$768.26M,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cnr
GLW,Corning Incorporated,27.25,$20.74B,n/a,Basic Industries,Telecommunications Equipment,https://old.nasdaq.com/symbol/glw
CAAP,Corporacion America Airports SA,2.79,$446.46M,2018,Transportation,Aerospace,https://old.nasdaq.com/symbol/caap
GYC,Corporate Asset Backed Corp CABCO,23.11,n/a,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/gyc
OFC,Corporate Office Properties Trust,26.44,$2.97B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ofc
CTVA,"Corteva, Inc.",27.35,$20.47B,2019,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ctva
CZZ,Cosan Limited,15.69,$3.48B,n/a,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/czz
CMRE,Costamare Inc.,4.85,$581.67M,2010,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/cmre
CMRE^B,Costamare Inc.,20.875,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^b
CMRE^C,Costamare Inc.,22.1601,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^c
CMRE^D,Costamare Inc.,22.4885,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^d
CMRE^E,Costamare Inc.,22.66,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^e
COTY,Coty Inc.,4.84,$3.69B,2013,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/coty
CUZ,Cousins Properties Incorporated,32.1,$4.77B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,9.49,$1.25B,n/a,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/cva
